YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
1947,27,14,12.2,17,58.1,88.9,86.8,161.1,120.5,75.4,50.9,32.7,87.3,336.8,246.9,71.3,744.7
1948,20.8,17.9,10.8,16.5,45.8,113,143,89.7,118.6,83.3,40.4,22.5,73.1,345.7,242.3,77.9,722.3
1949,39,16.3,9.2,18.5,31.7,94.6,103.7,90.3,147.2,89.4,7.4,29.5,59.4,288.6,243.9,58.6,676.9
1950,20.3,8.8,17.9,15.9,49,99.3,143.3,92.3,119,94.9,7.6,5.3,82.8,334.8,221.4,21.1,673.5
1951,10.5,5.3,22.1,8.3,48.7,89.6,127.2,113.1,143.5,73.9,22.8,20.1,79.1,329.9,240.2,39.7,685.1
1952,9.8,9.8,17.9,28.8,48.8,131.1,121.5,119.8,140.6,49.8,34.5,21.3,95.4,372.3,224.9,41.4,733.5
1953,3.8,16.3,11.1,11.3,28.8,79.7,112.9,119.7,88.2,106.2,22.4,22.9,51.2,312.3,216.8,51.1,623.4
1954,18.3,9.9,10.1,26,51.4,119.6,125.9,113.5,142.7,98.2,14,8.5,87.5,359,254.9,51.6,738.2
1955,31.3,11.8,4.1,4.7,20.4,74.6,183.4,151.1,173.7,105.8,27.7,22.1,29.3,409.1,307.2,47,810.8
1956,14.8,10.1,6.1,18,72.8,124.4,118.9,92.5,126.9,44.2,22.1,11.6,97,335.9,193.1,60.7,662.5
1957,25.2,24,24.1,20.9,35.2,83.2,93.5,95.5,128.6,70.4,20.1,15,80.2,272.1,219.2,82.4,635.5
1958,42.5,24.9,22.2,10.4,43.3,139,151.5,118.9,205.1,133.6,54.5,29.9,75.9,409.4,393.3,64.9,975.9
1959,16.2,18.8,8.7,33.6,34.5,122.1,118.3,131.2,91.4,141.1,31.4,25.1,76.9,371.7,263.8,66.1,772.5
1960,33.3,7.7,5.3,15.9,24.6,70.4,146.3,145,103.4,103.3,26.1,25,45.9,361.7,232.7,77.6,706.3
1961,42.4,10.2,14.6,14,26.2,137.5,143.9,103.6,116,59.3,46.1,21.5,54.8,385,221.4,44.7,735.3
1962,18.4,4.8,9.2,27.3,21.2,115.3,99.5,98.6,152.5,86.3,20.8,19,57.7,313.4,259.5,43.8,672.8
1963,9.8,14.9,12.4,11.3,31.9,85.4,157.3,109.4,143.2,49.5,37.5,33.6,55.5,352,230.2,56.2,696.1
1964,17.1,5.5,15.9,10.2,49.1,97.2,121.4,94.3,143.1,54.1,28.5,28.5,75.2,312.9,225.7,74.9,664.9
1965,18.5,27.8,9.8,15.7,29.7,81.9,96.5,142.7,114.7,92.4,23,59.8,55.3,321.2,230.2,108.3,712.9
1966,23.4,25,17.4,33.6,55.8,117.9,117.3,142.5,126.1,103.1,11.9,12,106.8,377.8,241.2,53.9,786.2
1967,30.7,11.3,16.1,23.8,24.8,103.8,84.6,169.3,181.4,88.5,26.2,37.2,64.7,357.7,296.1,99.5,797.7
