YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
1947,3.2,1.7,1.4,1.8,4.2,7,8.5,11.6,8.7,5.4,3.9,3.7,7.4,27.1,18,8.3,61
1948,2.4,2.2,1.6,1.7,3.5,7.9,11,8.6,9,6.4,3.2,2.7,6.8,27.6,18.5,8.3,60.1
1949,3.6,2.1,1.1,1.8,3,7.4,9.6,8.7,9.7,6.1,0.9,3.2,6,25.7,16.7,6.9,57.2
1950,2.2,1.5,2,1.7,3.7,7.3,11.2,8.7,8.8,5.8,1,0.8,7.4,27.2,15.6,3.5,54.7
1951,1.8,1,2.5,1.3,3.6,6.8,10.3,9.8,9.5,6,2.4,2.3,7.4,27,17.9,5.3,57.3
1952,1.5,1.5,2,2.9,3.8,8.5,10.4,9.6,9,3.8,3.2,2.7,8.6,28.4,16,5.5,58.7
1953,0.6,2.2,1.6,1.4,2.5,6.2,10,9.9,7.3,6.7,2.3,2.7,5.5,26.2,16.3,6.6,53.4
1954,2.3,1.6,1.3,2.3,3.8,7.9,10.6,10.1,9.2,6.5,1.6,1.2,7.4,28.6,17.4,6,58.4
1955,3.3,1.5,0.8,0.7,2.4,6,12.1,11.5,10.1,6.7,2.8,2.1,3.9,29.5,19.6,5.5,59.9
1956,2,1.4,0.8,1.7,4.5,8.1,10.2,8.8,8.7,4.1,2.3,1.7,7.1,27.1,15,7.2,54.3
1957,2.8,2.6,2.6,1.9,3.3,6.3,8.8,9.2,9,5.7,2.1,2.1,7.8,24.3,16.8,9,56.4
1958,4,2.9,2.2,1.4,3.5,8.8,11.1,10.1,11.6,8.1,4.3,3,7.1,30,24,7.5,71
1959,2.1,2.5,1,2.8,3.2,8.1,10.2,10.7,7.7,7.6,2.8,2.7,6.9,29.1,18.2,7.6,61.4
1960,3.4,1.4,0.8,1.5,2.3,5.7,11.1,11,8.1,6.5,2.5,3.2,4.7,27.9,17.1,8.8,57.7
1961,4.2,1.5,1.5,1.6,2.6,8.7,11,9.6,8.8,5.1,3.5,2.5,5.7,29.4,17.4,5.9,60.6
1962,2.5,1,1.4,2.3,2.3,7.7,9,8.8,10.1,6.2,2.3,2.6,6,25.4,18.7,6.4,56.2
1963,1.7,2,1.5,1.5,3.1,7,11.5,9.7,9.8,4.9,3.2,3.3,6,28.2,17.9,6.9,59.2
1964,2.4,1.2,2.1,1.3,3.7,7.3,10,9.1,9.8,5,2.8,3.2,7.1,26.4,17.7,9,58
1965,2.7,3.1,1.5,2,2.8,6.6,9.3,10.8,8.9,5.6,2.5,4.8,6.3,26.7,17,10.8,60.6
1966,3.2,2.9,2,2.7,4.2,8.2,10.3,11.2,9.3,6.5,1.5,1.9,8.9,29.6,17.2,6.5,63.8
1967,3,1.6,2,2.2,2.8,7.7,8.8,11.9,10.8,6.3,2.7,3.6,7,28.4,19.8,10.2,63.3
1968,3.3,3.3,2.8,2.4,3.6,7,10.8,10.1,9.2,5.7,3,2.9,8.8,28,17.9,7.7,64.3
1969,2.7,2,1.4,1.6,2.7,5.6,10.7,11.3,9.3,5.7,2.7,2.8,5.7,27.7,17.7,7.7,58.6
1970,2.2,2.7,1.7,1.1,2.4,8.2,10.8,10.5,11.2,4.3,1.7,1.3,5.2,29.6,17.1,4,58.1
1971,1.6,1.1,1,1.2,3.2,7.9,9.6,11.7,10.1,7.6,2.5,2.6,5.3,29.3,20.3,6.5,60.2
1972,2.8,1.1,1.6,1.5,4.2,8.7,10.7,9.9,8.8,5.7,4.5,2.5,7.4,29.3,19,9.1,62
1973,2.9,3.7,1.3,1.6,3.4,7.8,10.8,12.3,9,6.2,2,1.9,6.3,30.9,17.2,5.7,62.8
1974,2.7,1,2.2,1.7,3.5,7.1,10.5,9.3,10.6,4.3,2.8,2.7,7.5,26.8,17.8,7.6,58.6
1975,3.3,1.6,1.1,0.9,3.3,6.2,11.6,10.2,9.1,5.2,2,2.4,5.3,28.1,16.3,6.1,57.1
1976,1.9,1.7,1.2,2.6,3.4,7.9,11.8,9.6,9.9,6.7,4.8,3.4,7.1,29.4,21.4,7.7,65
1977,2.8,1.5,1.3,2.2,3.3,7.5,9.4,10.6,8.3,6.2,2.4,2.4,6.8,27.5,16.9,8,57.9
1978,2.7,2.9,2.4,1.4,3.8,7.4,10.6,10.3,11.2,7,2.7,3.7,7.6,28.3,20.8,9.5,65.9
1979,3.6,2.3,1.9,2.3,3.2,6.5,10.3,10.3,8.9,3.2,2.1,3.5,7.4,27.2,14.2,9.6,58.1
1980,3.3,2.8,1.1,1.9,2.7,5.7,9.5,11.4,9.8,5.5,3.2,2.5,5.7,26.6,18.4,9.5,59.3
1981,4.6,2.4,2.8,3.1,3.7,8.6,11.1,10.7,9,7,1.5,2,9.6,30.4,17.6,6.3,66.6
1982,2.1,2.1,1.4,2.2,4.1,5.4,9.4,8.2,8.5,5.2,4,4.6,7.7,23.1,17.7,11.9,57.4
1983,3.8,3.5,3.3,1.3,3.1,5.9,10.7,10.9,10.1,6.2,3.6,2.8,7.8,27.5,19.9,8.6,65.3
1984,4.5,1.4,1,0.8,5,8.7,12.6,10.8,10,4.6,2.4,4.3,6.8,32.1,16.9,10,65.9
1985,3.6,2.1,1.8,3.1,3.3,8.7,11,9.9,8.6,6.3,3.1,2.4,8.1,29.6,18,6.7,63.8
1986,2.2,2.1,1.4,2.1,4.5,8,9.8,9.5,8.9,6.3,3.3,3.6,8,27.2,18.6,8.4,61.6
1987,2.3,2.5,1.7,2.1,3.5,7.1,11.2,9.6,8.8,2.8,2.3,2.7,7.3,27.9,13.9,6.9,56.7
1988,2.7,1.6,1.8,1.8,2,8.1,11.5,12,9.6,4.4,1.4,2.2,5.6,31.6,15.4,7.2,59.1
1989,2.7,2.2,1.3,1.7,2.9,6,10,11.2,9.2,5.4,3.3,3.6,5.8,27.2,17.8,9,59.4
1990,2.6,2.7,2.1,2.1,3.8,7.2,12,10.5,9.5,6.5,2.9,3,8,29.7,18.9,8.2,65
1991,2.6,2.6,1.3,0.9,2.7,7.1,10.6,9.4,10.1,5.6,3.3,4.7,4.9,27.1,19,12.7,60.8
1992,4.7,3.3,2.5,2.4,4.3,6.1,10.5,10,8.5,5.5,3.5,3.2,9.2,26.6,17.4,9.2,64.5
1993,3.8,2.2,1.4,1.5,3,8.9,9.8,10,10.2,5.2,3,1.7,5.9,28.7,18.4,6.2,60.7
1994,2.5,2,1.9,1.8,3.1,7.2,8.4,9.9,8.3,6.2,2.9,3.6,6.8,25.6,17.5,8,57.9
1995,2.2,2.1,1.7,1.6,3.1,6.5,9.6,11.3,9.2,4.8,2.6,3,6.4,27.4,16.6,5.8,57.8
1996,1.6,1.3,1.1,1.8,2.9,7.9,9.6,11.4,8.8,6.1,2.7,1.6,5.9,28.9,17.6,6.5,56.9
1997,2.6,2.2,2.5,3.4,4.1,7,9.1,8.6,9,6.2,4.4,3.6,10,24.8,19.6,7.5,62.9
1998,1.5,2.4,1.5,0.8,1.3,6,10,10.9,11,6.9,3.8,1.4,3.6,26.9,21.7,3.5,57.5
1999,1.1,1,1.4,1.3,2.5,8.9,12.1,10.3,9.4,5.5,1.7,2,5.2,31.2,16.7,4.5,57.1
2000,1.3,1.2,1.8,1.2,4.2,8.8,8.7,10,8.9,6.8,3.1,2.1,7.3,27.5,18.9,6.7,58.2
